gamma,mean_absolute_naive_strict_separation,maximum_absolute_naive_strict_separation
-4,0.0410390677460325,0.070746042554631
-2,0.017224175024401,0.037368062276142
-1,0.0081339127056037,0.018898469508677
0,0.00077409020814578,0.00213460261202112
