entry_sd,method,successful_replicates,bias,mean_estimated_se,coverage,coverage_mcse,power,power_mcse,mean_observed_entry_sd,mean_observed_censoring,failed_replicates
0.25,delayed,36000,0.00181926285270805,0.114841695652071,0.945722222222222,0.0011941024129874,0.906333333333333,0.00153562529991154,0.249958086659068,0.237123870370367,0
0.25,naive,36000,0.00181926285270805,0.114841695652071,0.945722222222222,0.0011941024129874,0.906333333333333,0.00153562529991154,0.249958086659068,0.237123870370367,0
0.25,strict,36000,0.00181926285270805,0.114841695652071,0.945722222222222,0.0011941024129874,0.906333333333333,0.00153562529991154,0.249958086659068,0.237123870370367,0
4,delayed,36000,0.000269580587804125,0.115653935282558,0.943416666666667,0.00121771256098179,0.900583333333333,0.00157703125678489,4.00008969514091,0.237482185185187,0
4,naive,36000,0.000337534550223958,0.115655627633495,0.943194444444444,0.00121995769978558,0.901166666666667,0.0015729069474804,4.00008969514091,0.237482185185187,0
4,strict,36000,0.000413703689526973,0.117152163445185,0.943083333333333,0.00122107829990798,0.895055555555556,0.00161530103854678,4.00008969514091,0.237482185185187,0
10,delayed,36000,0.00162163127220185,0.123188073124472,0.942972222222222,0.00122219759199369,0.876,0.00173704730313637,8.96677610408996,0.237852777777776,0
10,naive,36000,0.00343621553384231,0.123245514521296,0.943972222222222,0.00121207656861939,0.876388888888889,0.00173470622169375,8.96677610408996,0.237852777777776,0
10,strict,36000,0.00180534742639634,0.129711293255618,0.942972222222222,0.00122219759199369,0.851861111111111,0.00187226658898049,8.96677610408996,0.237852777777776,0
