entry_sd,successful_replicates,mean_delta_auc,empirical_se,mean_estimated_se,rejection_probability,rejection_mcse,equal_stack_probability,failed_replicates
0.25,1000,0,0,0,0,0,1,0
4,1000,0.000273042701230882,0.00533190506838823,0.00494586608166162,0.045,0.00655553201502365,0,0
10,1000,0.000425134990901302,0.0130582688902357,0.0132751443694044,0.046,0.00662449998113065,0,0
