diagnostic_cell_id,phase,regime,gamma,theta,delta,entry_sd,replicates,mean_entry_x_correlation,entry_x_detection_probability,entry_x_detection_mcse,mean_entry_u_correlation_oracle,structural_detection_probability,structural_detection_mcse,any_riskset_shift_detection_probability,any_riskset_shift_detection_mcse,combined_detection_probability,combined_detection_mcse,landmark_index,landmark,mean_naive_rows,mean_strict_rows,mean_preentry_rows,mean_preentry_fraction,mean_naive_minus_strict_mean_x,riskset_shift_detection_probability,riskset_shift_detection_mcse
15,frailty,C,0,0,-2,10,1000,-0.0349308152312298,0.16,0.0115931013969516,-0.175742631086492,1,0,0.041,0.00627048642451285,0.18,0.01214907403879,2,54,575.184,455.293,119.891,0.208455112572066,-0.00291781929723434,0.015,0.00384382621875651
15,frailty,C,0,0,-2,10,1000,-0.0349308152312298,0.16,0.0115931013969516,-0.175742631086492,1,0,0.041,0.00627048642451285,0.18,0.01214907403879,3,58,523.529,464.778,58.751,0.112222989416031,-0.00158652717101204,0.013,0.00358203852575597
16,frailty,C,0,0,0,0.25,1000,-0.000792071910511625,0.062,0.00762600813007697,,0,0,0,0,0.062,0.00762600813007697,1,50,652.96,652.96,0,0,0,0,0
16,frailty,C,0,0,0,0.25,1000,-0.000792071910511625,0.062,0.00762600813007697,,0,0,0,0,0.062,0.00762600813007697,2,54,584.359,584.359,0,0,0,0,0
16,frailty,C,0,0,0,0.25,1000,-0.000792071910511625,0.062,0.00762600813007697,,0,0,0,0,0.062,0.00762600813007697,3,58,523.064,523.064,0,0,0,0,0
17,frailty,C,0,0,0,4,1000,-0.0162183291958186,0.071,0.00812151463706124,,1,0,0.046,0.00662449998113065,0.109,0.00985489725973843,1,50,650.381,576.388,73.993,0.113767103336768,-0.000869015602003045,0.02,0.00442718872423573
17,frailty,C,0,0,0,4,1000,-0.0162183291958186,0.071,0.00812151463706124,,1,0,0.046,0.00662449998113065,0.109,0.00985489725973843,2,54,586.126,577.885,8.241,0.0140598480216123,-0.000369168579806474,0.022,0.00463853425124791
17,frailty,C,0,0,0,4,1000,-0.0162183291958186,0.071,0.00812151463706124,,1,0,0.046,0.00662449998113065,0.109,0.00985489725973843,3,58,525.491,525.125,0.366,0.000696437751431217,-8.97851743511238e-05,0.006,0.00244213021765835
18,frailty,C,0,0,0,10,1000,-0.0366237745959329,0.162,0.0116514376795312,,1,0,0.045,0.00655553201502365,0.188,0.0123554036761249,1,50,624.065,417.164,206.901,0.33153366345374,-0.00743187081662776,0.019,0.00431729081716764
18,frailty,C,0,0,0,10,1000,-0.0366237745959329,0.162,0.0116514376795312,,1,0,0.045,0.00655553201502365,0.188,0.0123554036761249,2,54,574.794,457.694,117.1,0.203736268678614,-0.00419763343250175,0.02,0.00442718872423573
18,frailty,C,0,0,0,10,1000,-0.0366237745959329,0.162,0.0116514376795312,,1,0,0.045,0.00655553201502365,0.188,0.0123554036761249,3,58,522.809,466.316,56.493,0.10806937774773,-0.00207494006992935,0.018,0.00420428352992516
19,frailty,C,0,0.5,-2,0.25,1000,0.0742530992280125,0.514,0.0158051890213309,-0.991645192207549,1,0,0.021,0.00453420334788814,0.525,0.0157916116973538,1,50,655.604,648.508,7.096,0.0108273642764035,0.0016106143446036,0.021,0.00453420334788814
19,frailty,C,0,0.5,-2,0.25,1000,0.0742530992280125,0.514,0.0158051890213309,-0.991645192207549,1,0,0.021,0.00453420334788814,0.525,0.0157916116973538,2,54,586.852,586.85,0.002,3.39559552634614e-06,3.66572369278681e-06,0,0
