cell_id,method,successful_replicates,bias,empirical_se,mean_estimated_se,se_ratio,coverage,coverage_mcse,power,power_mcse,mean_rows,mean_events,mean_subjects,mean_observed_entry_sd,mean_observed_censoring,landmark_interval,censoring_target,entry_sd,n,study_end,censor_rate,failed_replicates
1,delayed,1000,-0.00672914809118383,0.143879424235285,0.144472708563922,1.00412348278282,0.948,0.00702111102319284,0.783,0.0130349913693872,1398.864,130.893,475.557,0.250229574881802,0,2,0,0.25,500,64,0,0
1,naive,1000,-0.00672914809118383,0.143879424235285,0.144472708563922,1.00412348278282,0.948,0.00702111102319284,0.783,0.0130349913693872,1398.864,130.893,475.557,0.250229574881802,0,2,0,0.25,500,64,0,0
1,strict,1000,-0.00672914809118383,0.143879424235285,0.144472708563922,1.00412348278282,0.948,0.00702111102319284,0.783,0.0130349913693872,1398.864,130.893,475.557,0.250229574881802,0,2,0,0.25,500,64,0,0
2,delayed,1000,0.000817798734529744,0.130014632856785,0.128563194478768,0.98883634598564,0.939,0.00756828910652864,0.879,0.0103130499853341,1372.58,128.26,475.859,0.249818906426364,0,4,0,0.25,500,68,0,0
2,naive,1000,0.000817798734529744,0.130014632856785,0.128563194478768,0.98883634598564,0.939,0.00756828910652864,0.879,0.0103130499853341,1372.58,128.26,475.859,0.249818906426364,0,4,0,0.25,500,68,0,0
2,strict,1000,0.000817798734529744,0.130014632856785,0.128563194478768,0.98883634598564,0.939,0.00756828910652864,0.879,0.0103130499853341,1372.58,128.26,475.859,0.249818906426364,0,4,0,0.25,500,68,0,0
3,delayed,1000,0.00389808566847504,0.119711713042871,0.116899685729643,0.976510006901151,0.943,0.00733150734842434,0.933,0.00790638982089803,1346.455,125.795,475.513,0.250202465026592,0,6,0,0.25,500,72,0,0
3,naive,1000,0.00389808566847504,0.119711713042871,0.116899685729643,0.976510006901151,0.943,0.00733150734842434,0.933,0.00790638982089803,1346.455,125.795,475.513,0.250202465026592,0,6,0,0.25,500,72,0,0
3,strict,1000,0.00389808566847504,0.119711713042871,0.116899685729643,0.976510006901151,0.943,0.00733150734842434,0.933,0.00790638982089803,1346.455,125.795,475.513,0.250202465026592,0,6,0,0.25,500,72,0,0
4,delayed,1000,0.0109118468709722,0.146732479508262,0.151309806270172,1.03119504813964,0.952,0.00675988165576884,0.8,0.0126491106406735,1310.732,117.183,453.925,0.249999805806113,0.148224,2,0.15,0.25,500,64,0.00935455505368637,0
4,naive,1000,0.0109118468709722,0.146732479508262,0.151309806270172,1.03119504813964,0.952,0.00675988165576884,0.8,0.0126491106406735,1310.732,117.183,453.925,0.249999805806113,0.148224,2,0.15,0.25,500,64,0.00935455505368637,0
4,strict,1000,0.0109118468709722,0.146732479508262,0.151309806270172,1.03119504813964,0.952,0.00675988165576884,0.8,0.0126491106406735,1310.732,117.183,453.925,0.249999805806113,0.148224,2,0.15,0.25,500,64,0.00935455505368637,0
5,delayed,1000,-0.00175164520394856,0.142485254079521,0.135463616022232,0.950720247490526,0.93,0.00806845710157772,0.843,0.0115043904662524,1279.243,115.283,457.169,0.249753020371062,0.150302,4,0.15,0.25,500,68,0.00794420961865639,0
5,naive,1000,-0.00175164520394856,0.142485254079521,0.135463616022232,0.950720247490526,0.93,0.00806845710157772,0.843,0.0115043904662524,1279.243,115.283,457.169,0.249753020371062,0.150302,4,0.15,0.25,500,68,0.00794420961865639,0
5,strict,1000,-0.00175164520394856,0.142485254079521,0.135463616022232,0.950720247490526,0.93,0.00806845710157772,0.843,0.0115043904662524,1279.243,115.283,457.169,0.249753020371062,0.150302,4,0.15,0.25,500,68,0.00794420961865639,0
6,delayed,1000,-0.000404190603236321,0.123150989470165,0.123345109570251,1.0015762772262,0.949,0.00695693898205238,0.914,0.00886588969026798,1251.622,112.958,459.646,0.249887727259067,0.148772,6,0.15,0.25,500,72,0.00685367368634159,0
6,naive,1000,-0.000404190603236321,0.123150989470165,0.123345109570251,1.0015762772262,0.949,0.00695693898205238,0.914,0.00886588969026798,1251.622,112.958,459.646,0.249887727259067,0.148772,6,0.15,0.25,500,72,0.00685367368634159,0
6,strict,1000,-0.000404190603236321,0.123150989470165,0.123345109570251,1.0015762772262,0.949,0.00695693898205238,0.914,0.00886588969026798,1251.622,112.958,459.646,0.249887727259067,0.148772,6,0.15,0.25,500,72,0.00685367368634159,0
7,delayed,1000,0.0085209891010552,0.169711973649444,0.162240841383011,0.955977577151596,0.928,0.00817410545564467,0.714,0.0142899965010493,1210.881,102.57,428.538,0.250198125255507,0.299286,2,0.3,0.25,500,64,0.0209386595416534,0
7,naive,1000,0.0085209891010552,0.169711973649444,0.162240841383011,0.955977577151596,0.928,0.00817410545564467,0.714,0.0142899965010493,1210.881,102.57,428.538,0.250198125255507,0.299286,2,0.3,0.25,500,64,0.0209386595416534,0
7,strict,1000,0.0085209891010552,0.169711973649444,0.162240841383011,0.955977577151596,0.928,0.00817410545564467,0.714,0.0142899965010493,1210.881,102.57,428.538,0.250198125255507,0.299286,2,0.3,0.25,500,64,0.0209386595416534,0
8,delayed,1000,-0.00299255928209188,0.147807767365011,0.144664249387405,0.97873238982196,0.947,0.00708456067798138,0.78,0.0130996183150503,1174.517,100.376,435.278,0.2501171302127,0.30163,4,0.3,0.25,500,68,0.017730565301616,0
8,naive,1000,-0.00299255928209188,0.147807767365011,0.144664249387405,0.97873238982196,0.947,0.00708456067798138,0.78,0.0130996183150503,1174.517,100.376,435.278,0.2501171302127,0.30163,4,0.3,0.25,500,68,0.017730565301616,0
8,strict,1000,-0.00299255928209188,0.147807767365011,0.144664249387405,0.97873238982196,0.947,0.00708456067798138,0.78,0.0130996183150503,1174.517,100.376,435.278,0.2501171302127,0.30163,4,0.3,0.25,500,68,0.017730565301616,0
9,delayed,1000,0.00241612960082687,0.132577122840922,0.129861444540335,0.97951623747451,0.944,0.00727076337120113,0.878,0.0103496859855746,1143.922,98.717,440.51,0.249847789106986,0.300774,6,0.3,0.25,500,72,0.0153983821527663,0
9,naive,1000,0.00241612960082687,0.132577122840922,0.129861444540335,0.97951623747451,0.944,0.00727076337120113,0.878,0.0103496859855746,1143.922,98.717,440.51,0.249847789106986,0.300774,6,0.3,0.25,500,72,0.0153983821527663,0
9,strict,1000,0.00241612960082687,0.132577122840922,0.129861444540335,0.97951623747451,0.944,0.00727076337120113,0.878,0.0103496859855746,1143.922,98.717,440.51,0.249847789106986,0.300774,6,0.3,0.25,500,72,0.0153983821527663,0
10,delayed,1000,0.00777053374782608,0.184299340086386,0.181715511139566,0.985980259367131,0.943,0.00733150734842434,0.615,0.0153874949228261,1053.168,80.858,387.491,0.250176595032439,0.49901,2,0.5,0.25,500,64,0.040899845313492,0
