landmark_interval,landmark,AUC,coarse_AUC,quadrature_difference,summary_AUC
2,50,0.61334843270369,0.613348409080463,2.36232270411918e-08,0.613175063586502
2,52,0.613174437603721,0.613174413948123,2.36555977028985e-08,0.613175063586502
2,54,0.613002320452096,0.613002296764389,2.36877066850383e-08,0.613175063586502
4,50,0.61334843270369,0.613348409080463,2.36232270411918e-08,0.613004775821511
4,54,0.613002320452096,0.613002296764389,2.36877066850383e-08,0.613004775821511
4,58,0.612663574308746,0.61266355055758,2.37511668110813e-08,0.613004775821511
6,50,0.61334843270369,0.613348409080463,2.36232270411918e-08,0.612837463471716
6,56,0.612832044565569,0.612832020846007,2.37195613150831e-08,0.612837463471716
6,62,0.612331913145889,0.612331889332263,2.38136258490229e-08,0.612837463471716
