dataset,variant,base_auc,variant_auc,delta_auc,bootstrap_se,p_value,bootstrap_successful,bootstrap_failed,bootstrap_seed,folds,subjects,rows,events,median_staleness,p90_staleness,mean_weight_cap
nafld,staleness,0.59932742979346,0.603217433522102,0.00389000372864212,0.0124671701141268,0.755025487783735,1000,0,20271009,5,4187,4467,167,0.71252566735113,2.98421172712754,1.89502971275967
nafld,iiw,0.59932742979346,0.577271669400457,-0.0220557603930029,0.0128237309448108,0.085447423038928,1000,0,20281009,5,4187,4467,167,0.71252566735113,2.98421172712754,1.89502971275967
pbcseq,staleness,0.876120124405951,0.873736316902455,-0.00238380750349654,0.013043108859443,0.854983391783217,993,7,20271110,5,159,167,29,0.592744695414098,3.30896646132786,1.1847737817314
pbcseq,iiw,0.876120124405951,0.877337303344623,0.00121717893867224,0.00231890892504577,0.599657612936698,994,6,20281110,5,159,167,29,0.592744695414098,3.30896646132786,1.1847737817314
