landmark_index,landmark,naive_rows,strict_rows,preentry_rows,preentry_fraction,naive_minus_strict_mean_x,preentry_vs_strict_p,riskset_shift_detected,diagnostic_cell_id,phase,regime,replicate,seed,gamma,theta,delta,entry_sd,entry_x_correlation,entry_x_p,entry_x_detected,entry_u_correlation_oracle,structural_difference_detected,any_riskset_shift_detected,combined_observed_diagnostic
3,58,520,520,0,0,0,1,0,1,focused,B,11,1200002011,-4,0,0,0.25,-0.997879263520144,0,1,,1,1,1
1,50,658,564,94,0.142857142857143,-0.260222336048465,6.41721631022384e-76,1,1,focused,B,12,1200002012,-4,0,0,0.25,-0.998026344521453,0,1,,1,1,1
2,54,599,587,12,0.0200333889816361,-0.0500671713409137,2.04517164431566e-10,1,1,focused,B,12,1200002012,-4,0,0,0.25,-0.998026344521453,0,1,,1,1,1
3,58,516,513,3,0.00581395348837209,-0.0184944468785753,0.000941919114904739,1,1,focused,B,12,1200002012,-4,0,0,0.25,-0.998026344521453,0,1,,1,1,1
1,50,666,567,99,0.148648648648649,-0.258613858539075,2.7873952952479e-78,1,1,focused,B,13,1200002013,-4,0,0,0.25,-0.997826416232861,0,1,,1,1,1
2,54,595,581,14,0.0235294117647059,-0.0554925286907539,6.32859059696995e-13,1,1,focused,B,13,1200002013,-4,0,0,0.25,-0.997826416232861,0,1,,1,1,1
3,58,526,524,2,0.00380228136882129,-0.0115762423393951,0.0461809233173866,0,1,focused,B,13,1200002013,-4,0,0,0.25,-0.997826416232861,0,1,,1,1,1
1,50,664,563,101,0.15210843373494,-0.264838244926178,7.94614238535977e-90,1,1,focused,B,14,1200002014,-4,0,0,0.25,-0.99799831452858,0,1,,1,1,1
2,54,582,569,13,0.0223367697594502,-0.0520289919024758,5.34058590669604e-20,1,1,focused,B,14,1200002014,-4,0,0,0.25,-0.99799831452858,0,1,,1,1,1
3,58,533,533,0,0,0,1,0,1,focused,B,14,1200002014,-4,0,0,0.25,-0.99799831452858,0,1,,1,1,1
1,50,660,567,93,0.140909090909091,-0.230151804544441,7.15282535497999e-97,1,1,focused,B,15,1200002015,-4,0,0,0.25,-0.997819545868073,0,1,,1,1,1
2,54,590,581,9,0.0152542372881356,-0.0330236203049374,1.02193467740553e-19,1,1,focused,B,15,1200002015,-4,0,0,0.25,-0.997819545868073,0,1,,1,1,1
3,58,528,528,0,0,0,1,0,1,focused,B,15,1200002015,-4,0,0,0.25,-0.997819545868073,0,1,,1,1,1
1,50,644,555,89,0.138198757763975,-0.25533260994749,3.63812722754823e-84,1,1,focused,B,16,1200002016,-4,0,0,0.25,-0.998054852316973,0,1,,1,1,1
2,54,580,570,10,0.0172413793103448,-0.042187914371294,4.53595175776611e-12,1,1,focused,B,16,1200002016,-4,0,0,0.25,-0.998054852316973,0,1,,1,1,1
3,58,527,527,0,0,0,1,0,1,focused,B,16,1200002016,-4,0,0,0.25,-0.998054852316973,0,1,,1,1,1
1,50,650,549,101,0.155384615384615,-0.272182776250629,1.23210393224886e-99,1,1,focused,B,17,1200002017,-4,0,0,0.25,-0.997925071609207,0,1,,1,1,1
2,54,577,568,9,0.0155979202772964,-0.0369763504246655,7.08640575518561e-11,1,1,focused,B,17,1200002017,-4,0,0,0.25,-0.997925071609207,0,1,,1,1,1
3,58,514,514,0,0,0,1,0,1,focused,B,17,1200002017,-4,0,0,0.25,-0.997925071609207,0,1,,1,1,1
1,50,652,552,100,0.153374233128834,-0.275475141953066,5.23094763609173e-74,1,1,focused,B,18,1200002018,-4,0,0,0.25,-0.998016559546019,0,1,,1,1,1
2,54,592,577,15,0.0253378378378378,-0.0647728476571435,1.99012114551981e-15,1,1,focused,B,18,1200002018,-4,0,0,0.25,-0.998016559546019,0,1,,1,1,1
3,58,515,511,4,0.00776699029126214,-0.0232905686187611,9.00740270595406e-88,1,1,focused,B,18,1200002018,-4,0,0,0.25,-0.998016559546019,0,1,,1,1,1
1,50,657,557,100,0.15220700152207,-0.263465789453411,4.28170238645993e-90,1,1,focused,B,19,1200002019,-4,0,0,0.25,-0.997884689525667,0,1,,1,1,1
2,54,597,583,14,0.0234505862646566,-0.0546297010894127,1.97255966183651e-20,1,1,focused,B,19,1200002019,-4,0,0,0.25,-0.997884689525667,0,1,,1,1,1
3,58,541,541,0,0,0,1,0,1,focused,B,19,1200002019,-4,0,0,0.25,-0.997884689525667,0,1,,1,1,1
1,50,650,558,92,0.141538461538462,-0.241939980390566,1.86573147907684e-62,1,1,focused,B,20,1200002020,-4,0,0,0.25,-0.998061786478588,0,1,,1,1,1
2,54,588,577,11,0.0187074829931973,-0.048786326186678,6.44828454102473e-09,1,1,focused,B,20,1200002020,-4,0,0,0.25,-0.998061786478588,0,1,,1,1,1
3,58,526,524,2,0.00380228136882129,-0.0129941031988632,0.075093881488119,0,1,focused,B,20,1200002020,-4,0,0,0.25,-0.998061786478588,0,1,,1,1,1
1,50,646,547,99,0.153250773993808,-0.261685376535186,4.58532604446961e-90,1,1,focused,B,21,1200002021,-4,0,0,0.25,-0.997866953491831,0,1,,1,1,1
2,54,568,557,11,0.0193661971830986,-0.0461067242653455,4.20627086602836e-15,1,1,focused,B,21,1200002021,-4,0,0,0.25,-0.997866953491831,0,1,,1,1,1
3,58,511,511,0,0,0,1,0,1,focused,B,21,1200002021,-4,0,0,0.25,-0.997866953491831,0,1,,1,1,1
1,50,643,528,115,0.178849144634526,-0.33190994487523,1.15608153723483e-90,1,1,focused,B,22,1200002022,-4,0,0,0.25,-0.998122954231616,0,1,,1,1,1
2,54,587,569,18,0.030664395229983,-0.0755543076651836,6.70675246203579e-16,1,1,focused,B,22,1200002022,-4,0,0,0.25,-0.998122954231616,0,1,,1,1,1
3,58,518,517,1,0.00193050193050193,-0.007467328551794,1,0,1,focused,B,22,1200002022,-4,0,0,0.25,-0.998122954231616,0,1,,1,1,1
1,50,636,545,91,0.143081761006289,-0.264766210039916,2.18154935125398e-74,1,1,focused,B,23,1200002023,-4,0,0,0.25,-0.998284601322762,0,1,,1,1,1
2,54,582,566,16,0.0274914089347079,-0.0669200204726169,4.31403481380745e-21,1,1,focused,B,23,1200002023,-4,0,0,0.25,-0.998284601322762,0,1,,1,1,1
3,58,526,526,0,0,0,1,0,1,focused,B,23,1200002023,-4,0,0,0.25,-0.998284601322762,0,1,,1,1,1
1,50,666,575,91,0.136636636636637,-0.253485502525203,6.2839092280673e-76,1,1,focused,B,24,1200002024,-4,0,0,0.25,-0.998255269745265,0,1,,1,1,1
2,54,589,570,19,0.032258064516129,-0.0762720792857722,1.76632534802524e-27,1,1,focused,B,24,1200002024,-4,0,0,0.25,-0.998255269745265,0,1,,1,1,1
3,58,534,534,0,0,0,1,0,1,focused,B,24,1200002024,-4,0,0,0.25,-0.998255269745265,0,1,,1,1,1
1,50,654,557,97,0.148318042813456,-0.253209254340377,6.98772374377584e-102,1,1,focused,B,25,1200002025,-4,0,0,0.25,-0.998078267791496,0,1,,1,1,1
2,54,588,576,12,0.0204081632653061,-0.0452111400680459,4.82982000666538e-27,1,1,focused,B,25,1200002025,-4,0,0,0.25,-0.998078267791496,0,1,,1,1,1
3,58,525,525,0,0,0,1,0,1,focused,B,25,1200002025,-4,0,0,0.25,-0.998078267791496,0,1,,1,1,1
1,50,662,560,102,0.154078549848943,-0.263158638235722,4.6084153849894e-103,1,1,focused,B,26,1200002026,-4,0,0,0.25,-0.99779704676645,0,1,,1,1,1
2,54,598,589,9,0.0150501672240803,-0.0339538770354335,1.64317845976156e-12,1,1,focused,B,26,1200002026,-4,0,0,0.25,-0.99779704676645,0,1,,1,1,1
3,58,530,530,0,0,0,1,0,1,focused,B,26,1200002026,-4,0,0,0.25,-0.99779704676645,0,1,,1,1,1
1,50,657,569,88,0.133942161339422,-0.240910071673674,1.72080145157687e-79,1,1,focused,B,27,1200002027,-4,0,0,0.25,-0.997785717540262,0,1,,1,1,1
2,54,608,596,12,0.0197368421052632,-0.0469208185430019,1.21737140112464e-20,1,1,focused,B,27,1200002027,-4,0,0,0.25,-0.997785717540262,0,1,,1,1,1
3,58,549,549,0,0,0,1,0,1,focused,B,27,1200002027,-4,0,0,0.25,-0.997785717540262,0,1,,1,1,1
1,50,651,567,84,0.129032258064516,-0.235891549605105,3.79082643332242e-84,1,1,focused,B,28,1200002028,-4,0,0,0.25,-0.997940651980213,0,1,,1,1,1
2,54,580,568,12,0.0206896551724138,-0.047485021480086,7.27181330680018e-21,1,1,focused,B,28,1200002028,-4,0,0,0.25,-0.997940651980213,0,1,,1,1,1
3,58,518,518,0,0,0,1,0,1,focused,B,28,1200002028,-4,0,0,0.25,-0.997940651980213,0,1,,1,1,1
1,50,669,568,101,0.150971599402093,-0.258838559104451,2.78413047692887e-92,1,1,focused,B,29,1200002029,-4,0,0,0.25,-0.997962018840409,0,1,,1,1,1
2,54,614,601,13,0.0211726384364821,-0.0487369944419165,1.46336234091393e-20,1,1,focused,B,29,1200002029,-4,0,0,0.25,-0.997962018840409,0,1,,1,1,1
3,58,547,547,0,0,0,1,0,1,focused,B,29,1200002029,-4,0,0,0.25,-0.997962018840409,0,1,,1,1,1
1,50,657,569,88,0.133942161339422,-0.226298681840694,5.94076689655104e-76,1,1,focused,B,30,1200002030,-4,0,0,0.25,-0.997870191934994,0,1,,1,1,1
2,54,578,570,8,0.013840830449827,-0.0332721005139273,1.09256041562166e-08,1,1,focused,B,30,1200002030,-4,0,0,0.25,-0.997870191934994,0,1,,1,1,1
3,58,530,530,0,0,0,1,0,1,focused,B,30,1200002030,-4,0,0,0.25,-0.997870191934994,0,1,,1,1,1
1,50,648,545,103,0.158950617283951,-0.284189502654371,2.39556862556899e-94,1,1,focused,B,31,1200002031,-4,0,0,0.25,-0.998067553603703,0,1,,1,1,1
2,54,572,560,12,0.020979020979021,-0.0503512134864878,2.65186360722055e-14,1,1,focused,B,31,1200002031,-4,0,0,0.25,-0.998067553603703,0,1,,1,1,1
3,58,511,510,1,0.00195694716242661,-0.00584640050846913,1,0,1,focused,B,31,1200002031,-4,0,0,0.25,-0.998067553603703,0,1,,1,1,1
1,50,661,573,88,0.133131618759455,-0.239904653501535,1.95334975794172e-78,1,1,focused,B,32,1200002032,-4,0,0,0.25,-0.99802530688371,0,1,,1,1,1
2,54,598,584,14,0.0234113712374582,-0.0547314444551527,2.61998018227218e-16,1,1,focused,B,32,1200002032,-4,0,0,0.25,-0.99802530688371,0,1,,1,1,1
3,58,527,526,1,0.00189753320683112,-0.00551585467885768,1,0,1,focused,B,32,1200002032,-4,0,0,0.25,-0.99802530688371,0,1,,1,1,1
