entry_sd,method,successful_replicates,bias,empirical_se,mean_estimated_se,se_ratio,coverage,coverage_mcse,power_against_half,power_mcse,failed_replicates
0.25,naive,1000,0.000322950185297706,0.034452274016642,0.0334645637829374,0.971331058343858,0.93,0.00806845710157772,0.904,0.00931579304192617,0
0.25,strict,1000,0.000322950185297706,0.034452274016642,0.0334461288561738,0.970795972423122,0.932,0.00796090447122687,0.905,0.00927227048785787,0
4,naive,1000,-8.8615431370961e-06,0.0341229094223227,0.0334445924426655,0.980121361538606,0.937,0.00768316341099159,0.907,0.00918428004799505,0
4,strict,1000,-0.000281904244367969,0.0346576085998579,0.0337804578173786,0.974690960573578,0.94,0.00750999334220744,0.896,0.00965318600255895,0
10,naive,1000,-0.000803577597180225,0.0343121206957163,0.0354758763018212,1.03391674960651,0.951,0.00682634602111555,0.865,0.0108062481925967,0
10,strict,1000,-0.00122871258808152,0.0362108122072283,0.0376170190759872,1.03883389471386,0.954,0.00662449998113065,0.829,0.0119062588582644,0
