"report_file","trace_id","found"
"05_simulation","05_simulation::wall_runtime_seconds",TRUE
"05_simulation","05_simulation::engine_validation_max_estimate_difference",TRUE
"05_simulation","05_simulation::engine_validation_max_robust_se_difference",TRUE
"05_simulation","05_simulation::design_cells_per_entry_sd",TRUE
"05_simulation","05_simulation::cell_092_naive_empirical_se",TRUE
"05_simulation","05_simulation::cell_092_naive_mean_estimated_se",TRUE
"05_simulation","05_simulation::cell_092_naive_coverage",TRUE
"05_simulation","05_simulation::cell_092_naive_coverage_mcse",TRUE
"05_simulation","05_simulation::cell_092_strict_empirical_se",TRUE
"05_simulation","05_simulation::cell_092_strict_mean_estimated_se",TRUE
"05_simulation","05_simulation::cell_092_strict_coverage",TRUE
"05_simulation","05_simulation::cell_092_strict_coverage_mcse",TRUE
"05_simulation","05_simulation::auc_truth_interval_4_landmark_50_auc",TRUE
"05_simulation","05_simulation::auc_truth_interval_4_landmark_54_auc",TRUE
"05_simulation","05_simulation::auc_truth_interval_4_landmark_58_auc",TRUE
"05_simulation","05_simulation::auc_truth_interval_4_landmark_50_summary_auc",TRUE
"05_simulation","05_simulation::auc_design_landmark_interval",TRUE
"05_simulation","05_simulation::auc_design_censoring_target",TRUE
"05_simulation","05_simulation::auc_design_sample_size",TRUE
"05_simulation","05_simulation::auc_outer_replicates_per_cell",TRUE
"05_simulation","05_simulation::auc_bootstrap_replicates",TRUE
"05_simulation","05_simulation::auc_total_bootstrap_resamples",TRUE
"05_simulation","05_simulation::auc_coverage_failures",TRUE
"05_simulation","05_simulation::diagnostic_entry_sd_4_rejection_probability",TRUE
"05_simulation","05_simulation::diagnostic_entry_sd_4_rejection_mcse",TRUE
"05_simulation","05_simulation::diagnostic_entry_sd_10_rejection_probability",TRUE
"05_simulation","05_simulation::diagnostic_entry_sd_10_rejection_mcse",TRUE
"05_simulation","05_simulation::diagnostic_entry_sd_4_mean_delta_auc",TRUE
"05_simulation","05_simulation::diagnostic_entry_sd_10_mean_delta_auc",TRUE
"06_application","06_application::pbcseq_enrollment_shared_0_1_rows",TRUE
"06_application","06_application::pbcseq_enrollment_shared_2_1_rows",TRUE
"06_application","06_application::pbcseq_enrollment_shared_4_1_rows",TRUE
"06_application","06_application::landmark_interaction_scale_years",TRUE
"06_application","06_application::pbcseq_enrollment_shared_coxph_cluster_1_log_bili_z_estimate",TRUE
"06_application","06_application::pbcseq_enrollment_shared_coxph_cluster_1_log_bili_z_standard_error",TRUE
"06_application","06_application::nafld_strict_coxph_cluster_1_hdl_z_observations",TRUE
"06_application","06_application::nafld_delayed_coxph_cluster_1_hdl_z_observations",TRUE
"06_application","06_application::cv_folds",TRUE
"06_application","06_application::nafld_staleness_median_staleness",TRUE
"06_application","06_application::nafld_staleness_p90_staleness",TRUE
"06_application","06_application::pbcseq_staleness_median_staleness",TRUE
"06_application","06_application::pbcseq_staleness_p90_staleness",TRUE
"06_application","06_application::pbcseq_staleness_bootstrap_successful",TRUE
"06_application","06_application::pbcseq_iiw_bootstrap_successful",TRUE
"06_application","06_application::pbcseq_staleness_bootstrap_failed",TRUE
"06_application","06_application::pbcseq_iiw_bootstrap_failed",TRUE
"06_application","06_application::40_rows",TRUE
"06_application","06_application::40_events",TRUE
"06_application","06_application::40_horizon_controls",TRUE
"06_application","06_application::pbc_w10_bootstrap_attempted",TRUE
"06_application","06_application::pbc_w10_bootstrap_successful",TRUE
"06_application","06_application::pbc_w10_bootstrap_minimum_required",TRUE
"06_application","06_application::pbc_application_window_years",TRUE
"06_application","06_application::nhanes_analysis_rows",TRUE
"06_application","06_application::nhanes_analysis_events",TRUE
"06_application","06_application::nhanes_1999_2000_strict_coxph_cluster_1_male_estimate",TRUE
"06_application","06_application::nhanes_1999_2000_strict_coxph_cluster_1_male_standard_error",TRUE
"06_application","06_application::nhanes_1999_2000_strict_svycoxph_1_male_estimate",TRUE
"06_application","06_application::nhanes_1999_2000_strict_svycoxph_1_male_standard_error",TRUE
"06_application","06_application::nhis_2018_mort_2019_public_dat_success",TRUE
"07_informative_entry","07_informative_entry::focused_cell_003_naive_bias",TRUE
"07_informative_entry","07_informative_entry::focused_cell_003_strict_bias",TRUE
"07_informative_entry","07_informative_entry::focused_cell_003_delayed_bias",TRUE
"07_informative_entry","07_informative_entry::pooled_confirmation_naive_bias",TRUE
"07_informative_entry","07_informative_entry::pooled_confirmation_naive_coverage",TRUE
"07_informative_entry","07_informative_entry::pooled_confirmation_strict_bias",TRUE
"07_informative_entry","07_informative_entry::pooled_confirmation_strict_coverage",TRUE
"07_informative_entry","07_informative_entry::pooled_confirmation_delayed_bias",TRUE
"07_informative_entry","07_informative_entry::pooled_confirmation_delayed_coverage",TRUE
"07_informative_entry","07_informative_entry::regression_cells",TRUE
"07_informative_entry","07_informative_entry::regression_replicates_per_cell",TRUE
"07_informative_entry","07_informative_entry::methods",TRUE
"07_informative_entry","07_informative_entry::regression_exact_cohort_cells",TRUE
"07_informative_entry","07_informative_entry::regression_exact_fit_cells",TRUE
"07_informative_entry","07_informative_entry::calibration_pilot_n",TRUE
"07_informative_entry","07_informative_entry::focused_cells",TRUE
"07_informative_entry","07_informative_entry::replicates_per_cell",TRUE
"07_informative_entry","07_informative_entry::selected_gamma",TRUE
"07_informative_entry","07_informative_entry::selected_gamma_mean_absolute_separation",TRUE
"07_informative_entry","07_informative_entry::confirmation_cells",TRUE
"07_informative_entry","07_informative_entry::frailty_cells",TRUE
"07_informative_entry","07_informative_entry::total_fits",TRUE
"07_informative_entry","07_informative_entry::fit_failures",TRUE
"07_informative_entry","07_informative_entry::focused_cell_001_naive_mean_entry_x_correlation",TRUE
"07_informative_entry","07_informative_entry::focused_cell_003_naive_mean_entry_x_correlation",TRUE
"07_informative_entry","07_informative_entry::focused_cell_001_naive_mean_preentry_fraction_lm1",TRUE
"07_informative_entry","07_informative_entry::focused_cell_003_naive_mean_preentry_fraction_lm1",TRUE
"07_informative_entry","08_frailty_decomposition::naive_delta_at_theta_0_contrast_estimate",TRUE
"07_informative_entry","08_frailty_decomposition::naive_delta_at_theta_0p5_contrast_estimate",TRUE
"07_informative_entry","08_frailty_decomposition::naive_theta_by_delta_interaction_contrast_estimate",TRUE
"07_informative_entry","08_frailty_decomposition::strict_delta_at_theta_0_contrast_estimate",TRUE
"07_informative_entry","08_frailty_decomposition::strict_delta_at_theta_0p5_contrast_estimate",TRUE
"07_informative_entry","08_frailty_decomposition::strict_theta_by_delta_interaction_contrast_estimate",TRUE
"07_informative_entry","08_frailty_decomposition::delayed_delta_at_theta_0_contrast_estimate",TRUE
"07_informative_entry","08_frailty_decomposition::delayed_delta_at_theta_0p5_contrast_estimate",TRUE
"07_informative_entry","08_frailty_decomposition::delayed_theta_by_delta_interaction_contrast_estimate",TRUE
"07_informative_entry","07_informative_entry::diagnostic_alpha",TRUE
"07_informative_entry","07_informative_entry::diagnostic_bonferroni_alpha",TRUE
"07_informative_entry","07_informative_entry::diagnostic_replicates_per_cell",TRUE
"07_informative_entry","07_informative_entry::auc_design_cells",TRUE
"07_informative_entry","07_informative_entry::auc_outer_replicates_per_cell",TRUE
"07_informative_entry","07_informative_entry::auc_methods",TRUE
"07_informative_entry","07_informative_entry::auc_bootstrap_replicates",TRUE
"07_informative_entry","07_informative_entry::auc_total_method_datasets",TRUE
"07_informative_entry","07_informative_entry::auc_total_bootstrap_resamples",TRUE
"07_informative_entry","07_informative_entry::auc_failures",TRUE
"07_informative_entry","07_informative_entry::auc_max_quadrature_difference",TRUE
"07_informative_entry","07_informative_entry::auc_quadrature_tolerance",TRUE
"07_informative_entry","07_informative_entry::auc_cell_001_strict_coverage",TRUE
"07_informative_entry","07_informative_entry::auc_cell_002_strict_coverage",TRUE
"07_informative_entry","07_informative_entry::auc_cell_003_strict_coverage",TRUE
"07_informative_entry","07_informative_entry::phase6_tolerance_changes",TRUE
"07_informative_entry","07_informative_entry::auc_truth_reproduction_max_abs_difference",TRUE
"07_informative_entry","07_informative_entry::tolerance_4_original",TRUE
"07_informative_entry","07_informative_entry::tolerance_4_new",TRUE
"07_informative_entry","07_informative_entry::tolerance_1_original",TRUE
"07_informative_entry","07_informative_entry::cran_check_exit_code",TRUE
"07_informative_entry","07_informative_entry::cran_check_warnings",TRUE
"07_informative_entry","07_informative_entry::cran_check_notes",TRUE
"07_informative_entry","07_informative_entry::project_test_passes",TRUE
"07_informative_entry","07_informative_entry::project_test_failures",TRUE
"07_informative_entry","07_informative_entry::project_test_warnings",TRUE
"07_informative_entry","07_informative_entry::project_test_skips",TRUE
"08_frailty_decomposition","08_frailty_decomposition::raw_frailty_rows",TRUE
"08_frailty_decomposition","08_frailty_decomposition::arm_replicates",TRUE
"08_frailty_decomposition","08_frailty_decomposition::seed_overlap_count",TRUE
"08_frailty_decomposition","08_frailty_decomposition::confidence_level",TRUE
"99_LIMITATIONS","05_simulation::auc_entry_sd_0p25_naive_coverage",TRUE
"99_LIMITATIONS","05_simulation::auc_entry_sd_0p25_naive_coverage_mcse",TRUE
"99_LIMITATIONS","07_informative_entry::auc_cell_021_strict_bias",TRUE
"99_LIMITATIONS","07_informative_entry::frailty_cell_009_strict_bias",TRUE
"99_LIMITATIONS","07_informative_entry::auc_cell_003_delayed_bias",TRUE
"99_LIMITATIONS","07_informative_entry::auc_cell_021_delayed_bias",TRUE
"99_LIMITATIONS","07_informative_entry::diagnostic_cell_012_lm1_entry_x_detection_probability",TRUE
"99_LIMITATIONS","07_informative_entry::diagnostic_cell_021_lm1_entry_x_detection_probability",TRUE
"99_LIMITATIONS","07_informative_entry::tolerance_4_new",TRUE
"99_LIMITATIONS","07_informative_entry::auc_truth_reproduction_max_abs_difference",TRUE
"99_LIMITATIONS","07_informative_entry::phase6_tolerance_changes",TRUE
"99_LIMITATIONS","08_hygiene::cran_age_post_warnings",TRUE
"99_LIMITATIONS","08_hygiene::cran_age_post_notes",TRUE
"99_LIMITATIONS","08_hygiene::cran_upstream_warnings",TRUE
"99_LIMITATIONS","08_hygiene::cran_upstream_notes",TRUE
"99_LIMITATIONS","08_hygiene::simulation_raw_byte_identical",TRUE
"99_LIMITATIONS","08_hygiene::informative_entry_raw_byte_identical",TRUE
