auc_cell_id,phase,regime,gamma,theta,delta,entry_sd,replicate,outer_seed,bootstrap_seed,method,strict_target_summary_auc,rows,events,subjects,estimate,estimated_se,covered,reject_half,converged,error
1,focused,B,-4,0,0,0.25,13,1200002013,1800006013,naive,0.606017101990918,1787,155,666,0.590181767591188,0.0284550518541576,1,1,1,""
1,focused,B,-4,0,0,0.25,13,1200002013,1800007013,strict,0.606017101990918,1672,151,660,0.575921408460283,0.0316242545600473,1,1,1,""
1,focused,B,-4,0,0,0.25,13,1200002013,1800008013,delayed,0.606017101990918,1787,155,666,0.589501422417548,0.0320350756867403,1,1,1,""
1,focused,B,-4,0,0,0.25,14,1200002014,1800006014,naive,0.606017101990918,1779,148,664,0.634168741211392,0.0334398416862768,1,1,1,""
1,focused,B,-4,0,0,0.25,14,1200002014,1800007014,strict,0.606017101990918,1665,147,657,0.609180659616107,0.0340789630006522,1,1,1,""
1,focused,B,-4,0,0,0.25,14,1200002014,1800008014,delayed,0.606017101990918,1779,148,664,0.633299324772375,0.0276527016354475,1,1,1,""
1,focused,B,-4,0,0,0.25,15,1200002015,1800006015,naive,0.606017101990918,1778,144,660,0.66303281475765,0.0322684658084609,1,1,1,""
1,focused,B,-4,0,0,0.25,15,1200002015,1800007015,strict,0.606017101990918,1676,140,654,0.658188017344994,0.031217206739995,1,1,1,""
1,focused,B,-4,0,0,0.25,15,1200002015,1800008015,delayed,0.606017101990918,1778,144,660,0.662580387080337,0.0308178157369396,1,1,1,""
1,focused,B,-4,0,0,0.25,16,1200002016,1800006016,naive,0.606017101990918,1751,136,644,0.64968172968355,0.0293111275624077,1,1,1,""
1,focused,B,-4,0,0,0.25,16,1200002016,1800007016,strict,0.606017101990918,1652,134,635,0.636819251460994,0.0332769546299913,1,1,1,""
1,focused,B,-4,0,0,0.25,16,1200002016,1800008016,delayed,0.606017101990918,1751,136,644,0.648933026285306,0.0322586453108915,1,1,1,""
1,focused,B,-4,0,0,0.25,17,1200002017,1800006017,naive,0.606017101990918,1741,127,650,0.601038501233471,0.0358466653307471,1,1,1,""
1,focused,B,-4,0,0,0.25,17,1200002017,1800007017,strict,0.606017101990918,1631,124,642,0.582209083319391,0.0316154118763666,1,1,1,""
1,focused,B,-4,0,0,0.25,17,1200002017,1800008017,delayed,0.606017101990918,1741,127,650,0.600046069765976,0.0336818916426662,1,1,1,""
1,focused,B,-4,0,0,0.25,18,1200002018,1800006018,naive,0.606017101990918,1759,151,652,0.587116690984554,0.027991222166367,1,1,1,""
1,focused,B,-4,0,0,0.25,18,1200002018,1800007018,strict,0.606017101990918,1640,149,641,0.564313099535195,0.0305043615297624,1,1,1,""
1,focused,B,-4,0,0,0.25,18,1200002018,1800008018,delayed,0.606017101990918,1759,151,652,0.586275417477336,0.0300610903952145,1,1,1,""
1,focused,B,-4,0,0,0.25,19,1200002019,1800006019,naive,0.606017101990918,1795,150,657,0.626932886492988,0.0347080637060924,1,1,1,""
1,focused,B,-4,0,0,0.25,19,1200002019,1800007019,strict,0.606017101990918,1681,145,649,0.618710527819776,0.0317239059670009,1,1,1,""
1,focused,B,-4,0,0,0.25,19,1200002019,1800008019,delayed,0.606017101990918,1795,150,657,0.626471460778683,0.0328581901272937,1,1,1,""
1,focused,B,-4,0,0,0.25,20,1200002020,1800006020,naive,0.606017101990918,1764,152,650,0.664148747793943,0.0340902738181983,1,1,1,""
1,focused,B,-4,0,0,0.25,20,1200002020,1800007020,strict,0.606017101990918,1659,147,640,0.661820522158402,0.0301019010948865,1,1,1,""
1,focused,B,-4,0,0,0.25,20,1200002020,1800008020,delayed,0.606017101990918,1763,152,650,0.663514999574978,0.0299203381514498,1,1,1,""
1,focused,B,-4,0,0,0.25,21,1200002021,1800006021,naive,0.606017101990918,1725,138,646,0.649833817613982,0.0347314815678994,1,1,1,""
